Timestamp_ms,X_uT,Y_uT,Z_uT,Magnitude_uT,System_Time
430202,14.84,20.573,72.52,76.829,2025-05-29T22:39:48.197104
430211,14.693,20.72,72.28,76.613,2025-05-29T22:39:48.206195
430220,14.88,20.787,72.453,76.831,2025-05-29T22:39:48.337512
430229,14.907,20.853,72.133,76.553,2025-05-29T22:39:48.339602
430238,14.92,20.853,72.213,76.631,2025-05-29T22:39:48.342139
430247,14.6,20.92,72.36,76.725,2025-05-29T22:39:48.365333
430256,14.827,20.88,72.307,76.708,2025-05-29T22:39:48.371517
430265,14.64,21.093,72.187,76.617,2025-05-29T22:39:48.372925
430273,14.8,21.32,72.04,76.572,2025-05-29T22:39:48.374301
430282,14.893,21.24,72.093,76.619,2025-05-29T22:39:48.375650
430291,14.893,21.387,72.08,76.647,2025-05-29T22:39:48.377037
430300,14.933,21.52,72.053,76.667,2025-05-29T22:39:48.378434
430309,15.053,21.68,72.013,76.698,2025-05-29T22:39:48.379797
430318,15.133,21.76,71.733,76.473,2025-05-29T22:39:48.381158
430327,15.253,22.027,71.933,76.761,2025-05-29T22:39:48.382524
430336,15.173,22.093,71.68,76.527,2025-05-29T22:39:48.383909
430345,15.427,22.293,71.56,76.523,2025-05-29T22:39:48.385329
430354,15.467,22.387,71.867,76.845,2025-05-29T22:39:48.386708
430362,15.507,22.467,71.68,76.702,2025-05-29T22:39:48.388091
430371,15.6,22.587,71.653,76.731,2025-05-29T22:39:48.389444
430380,15.493,22.6,71.52,76.589,2025-05-29T22:39:48.390788
430389,15.587,22.827,71.64,76.787,2025-05-29T22:39:48.392139
430398,15.72,22.773,71.627,76.786,2025-05-29T22:39:48.393482
430407,15.827,22.893,71.6,76.819,2025-05-29T22:39:48.394854
430416,15.813,22.92,71.48,76.712,2025-05-29T22:39:48.396245
430425,16.147,23.0,71.427,76.756,2025-05-29T22:39:48.397620
430434,16.347,23.053,71.587,76.963,2025-05-29T22:39:48.398974
430443,16.587,23.093,71.427,76.878,2025-05-29T22:39:48.400331
430451,16.933,23.213,71.587,77.138,2025-05-29T22:39:48.401684
430460,17.147,23.347,71.373,77.027,2025-05-29T22:39:48.403038
430469,17.44,23.307,71.453,77.155,2025-05-29T22:39:48.404385
430478,17.56,23.427,71.453,77.219,2025-05-29T22:39:48.405583
430487,17.853,23.707,71.347,77.273,2025-05-29T22:39:48.406934
430496,18.12,23.533,71.44,77.368,2025-05-29T22:39:48.408286
430505,18.173,23.44,71.333,77.254,2025-05-29T22:39:48.409643
430514,18.4,23.413,71.387,77.349,2025-05-29T22:39:48.411023
430523,18.413,23.333,71.44,77.377,2025-05-29T22:39:48.412407
430532,18.52,23.36,71.387,77.361,2025-05-29T22:39:48.413764
430540,18.693,23.427,71.347,77.386,2025-05-29T22:39:48.415116
430549,18.827,23.507,71.387,77.479,2025-05-29T22:39:48.416475
430558,18.973,23.333,71.44,77.512,2025-05-29T22:39:48.417845
430567,19.04,23.373,71.333,77.442,2025-05-29T22:39:48.429194
430576,19.227,23.427,71.333,77.504,2025-05-29T22:39:48.430924
430585,19.32,23.467,71.4,77.601,2025-05-29T22:39:48.432924
430594,19.52,23.467,71.32,77.577,2025-05-29T22:39:48.435833
430603,19.573,23.627,71.387,77.701,2025-05-29T22:39:48.437564
430612,19.493,23.493,71.44,77.689,2025-05-29T22:39:48.440289
430621,19.733,23.533,71.387,77.713,2025-05-29T22:39:48.441673
430629,19.76,23.6,71.267,77.63,2025-05-29T22:39:48.443040
430638,19.92,23.627,71.387,77.789,2025-05-29T22:39:48.444397
430647,19.827,23.653,71.213,77.614,2025-05-29T22:39:48.445748
430656,20.04,23.52,71.333,77.738,2025-05-29T22:39:48.447174
430665,19.867,23.613,71.4,77.783,2025-05-29T22:39:48.448549
430674,19.96,23.4,71.4,77.743,2025-05-29T22:39:48.449906
430683,19.933,23.453,71.48,77.825,2025-05-29T22:39:48.451255
430692,19.933,23.347,71.52,77.83,2025-05-29T22:39:48.452637
430701,19.693,23.293,71.347,77.594,2025-05-29T22:39:48.454018
430710,19.707,23.36,71.48,77.74,2025-05-29T22:39:48.455386
430719,19.707,23.227,71.6,77.81,2025-05-29T22:39:48.456746
430727,19.813,23.147,71.587,77.801,2025-05-29T22:39:48.465302
430736,19.747,23.08,71.493,77.678,2025-05-29T22:39:48.472434
430745,19.867,23.08,71.613,77.819,2025-05-29T22:39:48.482853
430754,19.707,23.12,71.52,77.705,2025-05-29T22:39:48.485755
430763,19.787,23.133,71.653,77.852,2025-05-29T22:39:48.488636
430772,19.853,23.053,71.747,77.931,2025-05-29T22:39:48.491548
430781,19.92,22.92,71.68,77.847,2025-05-29T22:39:48.495187
430790,19.88,23.0,71.573,77.762,2025-05-29T22:39:48.496599
430799,19.853,23.0,71.6,77.78,2025-05-29T22:39:48.497952
430808,19.76,22.907,71.773,77.888,2025-05-29T22:39:48.499314
430816,19.92,22.867,71.627,77.782,2025-05-29T22:39:48.500677
